"id","age_months","age_years","age_years_cont","age_zscored","gender","primary_lang","is_bilingual","stim_set","highest_count"
"9c8b48b2-423a-424e-8097-d21e100ce63f",60,5,5.08219178082192,0.58206426646959,"F","English","N",4,29
"9ca3b7f5-8996-4ada-9a20-2d1ea13f235d",64,5,5.40547945205479,1.01795282866712,"M","English","N",1,29
"9cba7421-04ca-4357-b7d8-db9421961c36",54,4,4.57260273972603,-0.10501431462144,"F","English","N",2,3
"9ce2ac4d-ebc1-4a08-88db-4fb1d82e4156",58,4,4.86301369863014,0.286546597183125,"F","English","N",3,29
"9fe98a5a-7b25-4d95-b813-590c5df0078f",64,5,5.41095890410959,1.02534077039929,"M","English","N",2,29
"a1cf86cf-ac2e-4d80-abf9-5ad015218fff",44,3,3.71506849315068,-1.26122719570473,"M","English","Turkish",1,32
"a1dda6a4-0810-45f5-8a15-d46ca7e9254d",45,3,3.83287671232877,-1.10238644846326,"F","English","N",4,29
"a3ac1e5a-8f5a-483f-8854-ed8712c9fa9a",42,3,3.54794520547945,-1.48655941853566,"M","English","Y",3,40
"a5da9562-d88f-46ff-9843-cb59b682bf24",39,3,3.29315068493151,-1.83009870908118,"M","English","N",2,20
"a9bae9a5-c404-48ef-ba3f-2c40ec4e9734",63,5,5.2958904109589,0.870193994023892,"M","English","N",1,29
"aebb97e5-eec6-4542-856e-487e5de53f35",59,4,4.93972602739726,0.389977781433387,"M","English","Chinese",2,13
"af989002-1d92-460d-9030-1b379936dc07",49,4,4.15616438356164,-0.666497886265722,"F","English","N",2,23
"b4a0eeb9-a449-47f6-bc95-31dc03358d33",48,4,4.06027397260274,-0.79578686657855,"F","English","N",4,6
"b9375202-e4b7-44bf-bb52-b0742151377c",40,3,3.36164383561644,-1.73774943742916,"M","English","N",2,10
"ba5419d9-f9e1-412a-9233-a480b43d99c4",56,4,4.73424657534247,0.112929966477327,"F","English","Spanish",2,52
"bb876a37-116d-48ab-9085-2e1cce6d7959",46,3,3.9041095890411,-1.00634320594516,"M","English","N",4,13
"bbb0062e-aac1-4cc5-9542-d14007c1b498",51,4,4.25479452054795,-0.533514935086813,"M","English","Y",4,14
"bc16155f-bcd0-4a36-8e03-c324a1742b89",44,3,3.70684931506849,-1.27230910830297,"F","English","N",1,38
"bdef96b5-f026-411c-99ff-08063fb3fb65",52,4,4.35342465753425,-0.400531983907904,"M","English","N",3,39
"c42fa1b6-2e9b-446b-9a56-bac99d742e5f",64,5,5.36986301369863,0.969931207408074,"F","English","N",1,4
"c4c0ca5d-279e-4e12-931e-a658b6db1817",53,4,4.45205479452055,-0.267549032728996,"F","English","Y",4,NA
"c5c2d6ab-268f-4134-b4aa-676f73eeaf4e",51,4,4.26027397260274,-0.526126993354653,"F","English","N",3,30
"c84e66c4-78d0-4ea2-9a69-e08942d17e4c",54,4,4.51780821917808,-0.178893731943056,"M","English","N",2,16
"d7836717-8abf-4645-a738-d7d8e3e4ec01",59,4,4.96164383561644,0.419529548362034,"F","English","Y",1,23
"d86cca5b-1c4e-423b-aada-34a1be7216cb",63,5,5.28219178082192,0.851724139693488,"F","English","N",4,15
"dceb2d3d-c599-4892-97df-e5d72b85a2e1",63,5,5.28493150684931,0.855418110559569,"M","English","Y",4,14
"dd0fc9dd-c49a-4e90-9237-22f12c719e6a",63,5,5.24657534246575,0.803702518434438,"F","English","N",2,16
"e460570a-7e56-4039-8357-724667752d0c",54,4,4.55068493150685,-0.134566081550087,"M","English","N",4,39
"e5b228d1-1d09-4f20-8c10-36031f5a8f8a",61,5,5.12876712328767,0.644861771192963,"F","English","N",1,39
"e9289e23-f96d-46f8-90ea-499e404ced5e",62,5,5.20547945205479,0.748292955443226,"M","English","N",2,59
"f4c98d70-b82d-4bbe-84ca-edb15a7e8760",51,4,4.30958904109589,-0.459635517765198,"M","English","N",2,12
"f536e3f9-cbd1-4fe1-bee6-fc023b29918d",66,5,5.56438356164384,1.23220313889981,"M","English","N",2,22
"f5a20b5f-b541-4941-932e-118003a3dc7a",58,4,4.85753424657534,0.279158655450963,"F","English","N",3,29
"fcea870b-e767-4c69-a0d8-2214a94e461d",57,4,4.76986301369863,0.160951587736377,"F","English","N",3,29
"fdb9386e-5642-4308-8158-455ffbd4e7c3",46,3,3.87671232876712,-1.04328291460597,"F","English","N",3,30
"fe2725d9-3f3a-416c-8741-85d8fa13713f",47,3,4,-0.877054225632329,"F","English","Y",1,23
