"id","age_months","age_years","age_years_cont","age_zscored","stim_set","highest_count","knower_level","knower_level_cp_subset","trial","magnitude","set_chosen","count","correction_after_prompt","final_count","set_asked","n_bunnies","n_lions","trial_ratio","correct_set_chosen","target_count","correct_count","correct_set_chosen_or_correct_count","correct_count_when_correct_set_chosen","count_error","correct_count_approx"
"a9b502fc-d18a-4911-9e40-632750c1d5c9",60,5,5.01643835616438,0.98968697500808,5,29,"CP","CP",1,"small","lion",1,NA,1,"lion",3,1,"1-3",1,1,1,1,1,0,1
"a9b502fc-d18a-4911-9e40-632750c1d5c9",60,5,5.01643835616438,0.98968697500808,5,29,"CP","CP",2,"small","lion",2,1,1,"lion",2,1,"1-2",1,1,1,1,1,0,1
"a9b502fc-d18a-4911-9e40-632750c1d5c9",60,5,5.01643835616438,0.98968697500808,5,29,"CP","CP",3,"large","bunny",7,NA,7,"bunny",7,6,"6-7",1,7,1,1,1,0,1
"a9b502fc-d18a-4911-9e40-632750c1d5c9",60,5,5.01643835616438,0.98968697500808,5,29,"CP","CP",4,"small","lion",3,NA,3,"lion",2,3,"2-3",1,3,1,1,1,0,1
"a9b502fc-d18a-4911-9e40-632750c1d5c9",60,5,5.01643835616438,0.98968697500808,5,29,"CP","CP",5,"large","bunny",5,NA,5,"bunny",5,8,"5-8",1,5,1,1,1,0,1
"a9b502fc-d18a-4911-9e40-632750c1d5c9",60,5,5.01643835616438,0.98968697500808,5,29,"CP","CP",6,"large","bunny",6,7,7,"bunny",7,5,"5-7",1,7,1,1,1,0,1
"96ba9a6d-ca58-4e3b-8d90-8e9e49ec4666",52,4,4.40547945205479,0.297076915611244,6,12,"CP","CP",1,"large","lion",5,NA,5,"lion",8,5,"5-8",1,5,1,1,1,0,1
"96ba9a6d-ca58-4e3b-8d90-8e9e49ec4666",52,4,4.40547945205479,0.297076915611244,6,12,"CP","CP",2,"small","lion",2,NA,2,"lion",1,2,"1-2",1,2,1,1,1,0,1
"96ba9a6d-ca58-4e3b-8d90-8e9e49ec4666",52,4,4.40547945205479,0.297076915611244,6,12,"CP","CP",3,"small","bunny",3,NA,3,"bunny",3,1,"1-3",1,3,1,1,1,0,1
"96ba9a6d-ca58-4e3b-8d90-8e9e49ec4666",52,4,4.40547945205479,0.297076915611244,6,12,"CP","CP",4,"large","bunny",6,NA,6,"bunny",6,7,"6-7",1,6,1,1,1,0,1
