"id","age_months","age_years","age_years_cont","age_zscored","gender","primary_lang","is_bilingual","stim_set","highest_count","knower_level","knower_level_cp_subset"
"81f2d7b5-5660-47a2-b716-50aff913aa54",38,3,3.21917808219178,-1.04776683200683,"M","English","Spanish",2,1,"1","subset"
"89132b56-0325-48d2-9bab-defa233f6e6d",25,2,2.12602739726027,-2.28701083962718,"F","English","N",3,NA,"1","subset"
"8c20f94b-cdb8-4fe7-b2eb-cb4bc3c7d578",33,2,2.77808219178082,-1.54781265964311,"F","English","French, Portuguese",2,3,"2","subset"
"91600957-bdcb-452a-a19f-f593b5bce8f9",68,5,5.71232876712329,1.7785791502852,"M","English","N",4,11,"CP","CP"
"948ad5d2-db7f-4a61-bb91-7ee6c92bacd1",49,4,4.10684931506849,-0.0414634273226349,"F","English","N",1,10,"3","subset"
"956dcd72-792e-4301-a801-aa2cc2edad4e",51,4,4.26575342465753,0.138677305614658,"F","English","N",4,12,"4","subset"
"9613a583-200a-44f3-9be2-e9aba39561d1",43,3,3.62739726027397,-0.584991500840332,"F","English","N",2,8,"2","subset"
"96ba9a6d-ca58-4e3b-8d90-8e9e49ec4666",52,4,4.40547945205479,0.297076915611244,"M","English","N",6,12,"CP","CP"
"9af80b82-e7f8-4d84-bd3c-ddcfb2eb71ce",52,4,4.40547945205479,0.297076915611244,"M","English","N",4,13,"CP","CP"
"9d47b26a-39de-44ed-96d6-8d7d6ae8d494",35,2,2.92054794520548,-1.38630717494071,"F","English","N",4,1,"2","subset"
"a08c561b-654c-48e5-867c-4bcc7df5a831",46,3,3.86301369863014,-0.317886276140207,"F","English","N",1,12,"3","subset"
"a12b3204-79cb-43e0-a0c7-f37c909afb13",41,3,3.48493150684931,-0.746496985542733,"F","English","N",2,12,"CP","CP"
"a4f3ea62-fab3-42fa-ba16-27d75326e74c",54,4,4.56712328767123,0.480323523254354,"F","English","N",6,15,"CP","CP"
"a9b502fc-d18a-4911-9e40-632750c1d5c9",60,5,5.01643835616438,0.98968697500808,"M","English","N",5,29,"CP","CP"
"af54f3eb-c1b1-47d1-84dd-0ec0fb39d1ca",31,2,2.60821917808219,-1.74037689140366,"F","English","N",5,9,"2","subset"
